x,y,z
-18.027739288108517,17.895077595898684,-18.551125715517934
-9.622996006772805,24.355623517158463,-21.630117660839204
-13.993930389180276,17.959623134892244,-30.19062267588927
-25.04043155458702,10.646040394870722,-21.75756742020654
-19.907908104052243,28.382186561376415,-18.365363131179187
-21.09550264404432,24.147027905917447,-31.055676545039425
-18.821927209457172,23.854325969434832,-27.392931228899208
-14.281229783965355,21.69248203747207,-22.076439569504007
-16.836090669468575,31.35346428902198,-19.090668724707523
-18.75889706849832,17.70319550229878,-24.24922184732396
-15.848320917278773,15.719580870455664,-19.642168813903037
-22.388287233825583,22.39489912873196,-18.33168947356526
-14.812300278710504,17.449918005726264,-21.349374676466855
-24.893818578911535,17.77853369961944,-18.11349753477574
-27.07486047673585,22.225256839306624,22.003653654607433
14.11476328852973,19.394844446709996,4.272444334759619
-24.820094109304726,-15.430400649608053,-31.840228319857435
40.84505613336283,8.339179476612046,-9.914858323636011
-3.7994196355867302,44.728333961181534,-34.66485968839198
8.622983201679723,0.5888678884466003,11.14542354346478
-48.18898161791595,37.21239089441515,43.21182824836124
6.513318358920891,19.665082387689225,42.24993811772957
20.723863431339865,-34.74609570857386,7.628836016681319
10.67150463828559,-7.586932869761398,23.644423562472284
43.43670147690149,42.55685129067763,-4.916062859586788
-38.676195415924475,48.48411989623345,33.889808644593415
-37.53373187967331,42.08418826173724,36.98963620621282
1.883805712607213,9.127543574492925,-10.099729612986977
-44.52383611779687,-16.480275835409905,30.285344859801143
-49.53679769953971,-16.65008283088558,-10.183130640905667
3.7395602937922874,41.98556164127605,-15.365400563403874
-15.30467981037723,23.75012481097484,-4.778205911019285
-27.539517706001803,-4.7560483867306615,-35.914297962020015
-32.36130134937767,-0.1632227260520267,-8.107455049545209
41.48459010681,-13.76061008833669,8.058835027804342
13.22642879195304,-48.69055434116664,16.353737201671066
-32.19640331302486,46.10703174694551,-35.133727224688705
-8.537587627297626,-41.465033192135614,49.68742518459473
0.21950103312425995,9.538501732004377,-43.29235226115725
24.996047039917784,-29.009440690441423,39.80542894407138
-29.486035951799284,-30.931227933633345,-46.34503321519051
-2.793305489000076,6.484113326261642,-43.42913605716476
27.552761669501052,-4.671116525197242,2.4390269327580043
-5.923725306177182,-9.9236939124674,5.9640331308217895
-34.475975406928754,-31.80718695047289,36.17856210135173
44.61154621336327,-12.669068372024704,-22.925532685644622
14.399954323901582,-9.126582890190363,-47.461364433965514
-34.38474026338096,21.59722288473975,15.892394191015143
-47.29040074965165,-27.802783806705055,-26.89252034119286
17.18927435987284,-48.02894622456358,-39.58914180154262
29.99160853731894,-32.14553379456664,15.274610785187477
-26.18172189532735,-40.05586072406548,-25.682780900054592
22.22669318556592,35.56964681062857,33.02198645669915
-10.281647038154517,16.808513657064623,-29.501570458417902
-20.685226973898672,39.63358185211197,-48.699807648926395
-41.4491469145532,-29.21137448539727,-47.34677961261803
-31.856456491020268,8.304156096969216,-7.857544940750202
39.26717110769748,31.744356173844096,-15.8182648302124
-24.05765665687075,-12.030759183273311,9.029494251480777
-23.193635917712374,12.414890784913403,-9.058834780875955
5.204718085198024,-6.387347086468331,-20.55342404580823
44.84533069621567,26.360579415976076,-35.988682423354746
36.84679758979128,-1.2568801750486358,39.45522268940914
29.985525594731527,-7.478649553076657,-47.75306916798826
